epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2173.78,0.54001,0.4425,0.89832,0.72566,0.38134,0.43084,0.35985,0.84667,1.89818,1.05018,6.64248e-05,6.64248e-05,6.64248e-05
60,2209.52,0.53572,0.44381,0.89542,0.72418,0.3745,0.43079,0.34762,0.84761,1.94233,1.04682,6.48804e-05,6.48804e-05,6.48804e-05
61,2245.19,0.5339,0.44065,0.8984,0.67681,0.39091,0.44443,0.37006,0.84602,1.87158,1.05526,6.3336e-05,6.3336e-05,6.3336e-05
62,2280.86,0.52395,0.42409,0.89036,0.73059,0.37463,0.46528,0.37907,0.84142,1.89735,1.04306,6.17916e-05,6.17916e-05,6.17916e-05
63,2316.53,0.52777,0.43001,0.89469,0.52894,0.43298,0.44602,0.36262,0.84872,1.92577,1.03908,6.02472e-05,6.02472e-05,6.02472e-05
64,2352.53,0.52241,0.42827,0.89204,0.71705,0.40006,0.45041,0.37461,0.83815,1.93006,1.04589,5.87028e-05,5.87028e-05,5.87028e-05
65,2388.31,0.52184,0.42439,0.88972,0.55205,0.40352,0.44055,0.35885,0.83901,1.91526,1.04423,5.71584e-05,5.71584e-05,5.71584e-05
66,2423.82,0.52219,0.41588,0.89178,0.6382,0.38249,0.44184,0.36276,0.83243,1.90381,1.03752,5.5614e-05,5.5614e-05,5.5614e-05
67,2459.32,0.51747,0.41358,0.8891,0.60478,0.4245,0.46473,0.37816,0.85404,1.90007,1.06338,5.40696e-05,5.40696e-05,5.40696e-05
68,2495.05,0.50773,0.40677,0.88475,0.66559,0.40268,0.46641,0.39,0.8491,1.87419,1.05995,5.25252e-05,5.25252e-05,5.25252e-05
69,2530.82,0.50871,0.40521,0.89021,0.68626,0.39626,0.44573,0.37045,0.8381,1.91817,1.05412,5.09808e-05,5.09808e-05,5.09808e-05
70,2566.78,0.50865,0.39992,0.88574,0.72297,0.3784,0.45108,0.37282,0.8508,1.91072,1.06584,4.94364e-05,4.94364e-05,4.94364e-05
71,2602.46,0.49932,0.40266,0.8866,0.54434,0.4237,0.44922,0.37875,0.83956,1.93728,1.04788,4.7892e-05,4.7892e-05,4.7892e-05
72,2638.26,0.49543,0.39084,0.87835,0.68943,0.3912,0.45427,0.37694,0.83211,1.93371,1.04762,4.63476e-05,4.63476e-05,4.63476e-05
73,2673.27,0.49789,0.39796,0.88391,0.62369,0.42916,0.45532,0.37671,0.83337,1.9504,1.03899,4.48032e-05,4.48032e-05,4.48032e-05
74,2707.3,0.49838,0.39048,0.88309,0.75911,0.37236,0.4482,0.35874,0.82016,1.94969,1.03874,4.32588e-05,4.32588e-05,4.32588e-05
75,2741.35,0.49791,0.39226,0.88335,0.59546,0.41035,0.45207,0.37422,0.81106,1.94268,1.02957,4.17144e-05,4.17144e-05,4.17144e-05
76,2775.36,0.49685,0.38851,0.8871,0.64274,0.40293,0.44695,0.35887,0.8269,1.94864,1.0406,4.017e-05,4.017e-05,4.017e-05
77,2809.42,0.48841,0.37822,0.88304,0.73214,0.37356,0.44897,0.3687,0.83029,2.01437,1.04561,3.86256e-05,3.86256e-05,3.86256e-05
78,2843.44,0.48695,0.38212,0.87521,0.72975,0.38221,0.45566,0.3755,0.82334,1.9898,1.03818,3.70812e-05,3.70812e-05,3.70812e-05
79,2877.49,0.48336,0.37565,0.8791,0.73204,0.38608,0.45172,0.37784,0.82253,1.961,1.05038,3.55368e-05,3.55368e-05,3.55368e-05
80,2911.52,0.48345,0.37364,0.87868,0.62979,0.40002,0.45816,0.37984,0.83035,1.97655,1.04909,3.39924e-05,3.39924e-05,3.39924e-05
81,2945.61,0.47305,0.36453,0.87344,0.60162,0.40777,0.44936,0.38101,0.83647,1.97781,1.05076,3.2448e-05,3.2448e-05,3.2448e-05
82,2979.69,0.47758,0.37001,0.87582,0.76446,0.37413,0.45789,0.38726,0.82794,1.93227,1.04039,3.09036e-05,3.09036e-05,3.09036e-05
83,3013.76,0.47312,0.36407,0.87349,0.63429,0.39844,0.44796,0.37805,0.83781,1.96763,1.04512,2.93592e-05,2.93592e-05,2.93592e-05
84,3047.77,0.47528,0.36498,0.87569,0.63186,0.3883,0.44086,0.36134,0.8453,1.98855,1.05544,2.78148e-05,2.78148e-05,2.78148e-05
85,3081.86,0.4678,0.35853,0.86899,0.73004,0.3728,0.44305,0.36753,0.83972,1.92227,1.04953,2.62704e-05,2.62704e-05,2.62704e-05
86,3115.94,0.47514,0.36423,0.87539,0.61714,0.40723,0.4662,0.39757,0.8339,1.93822,1.04497,2.4726e-05,2.4726e-05,2.4726e-05
87,3150.09,0.4714,0.36041,0.87301,0.71053,0.38176,0.46178,0.39876,0.83672,1.93442,1.04685,2.31816e-05,2.31816e-05,2.31816e-05
88,3184.23,0.46621,0.35728,0.87352,0.66599,0.39268,0.46082,0.39494,0.82508,1.88505,1.0413,2.16372e-05,2.16372e-05,2.16372e-05
89,3218.31,0.46936,0.35332,0.87342,0.64764,0.39051,0.46558,0.39474,0.82877,1.93502,1.05491,2.00928e-05,2.00928e-05,2.00928e-05
